StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,inherentSimilarity,hetereogenous,inductivePotential,internalCause,invented,constructedBoundary,immutability,attentionCheck,age,gender,gender_4_TEXT,race,race_15_TEXT,education,debrief_1,debrief_2,debrief_3,condition,Create New Field or Choose From Dropdown...,cb
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"STUDY TITLE: Comparison processing in children

 

PROTOCOL DIRECTOR:  Marianna Zhang

 

DESCRIPTION:  You are invited to participate in a research study on language and social categories. You will be asked to read short sentences, read short excerpts from children’s books, answer short questions, produce or select sentences, rate items on various traits, or produce descriptions of items. You may see material intended for children – we are interested in how adults think about the same material. The purpose of this research is to understand the cognitive processes underlying language and social categorization. 

 

TIME INVOLVEMENT:  Your participation will take approximately 3-5 minutes.

 

RISKS AND BENEFITS:  There are no risks associated with this study.  No benefits may reasonably be expected to result from this study. We cannot and do not guarantee or promise that you will receive any benefits from this study.

 

PAYMENTS:  You will receive $0.58 through Amazon Payments as payment for your participation.

 

SUBJECT'S RIGHTS:  If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  Your individual privacy will be maintained in all published and written data resulting from the study.  No personally identifying information is ever revealed to the researchers.

 

CONTACT INFORMATION:

Questions:  If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Marianna Zhang, at stanford.markman.lab@gmail.com.

 

Independent Contact:  If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906.  You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306.

 

Please print a copy of this page for your records.

 

If you agree to participate in this research, please complete and submit the following questionnaire.","Underneath superficial similarities and differences, all Zarpies are basically the same.",Individual Zarpies have very little in common.,"If someone tells you a fact about an individual Zarpie, that fact is very likely true of other Zarpies as well.",Zarpies have internal or microscopic properties that cause their characteristic appearance and behavior.,The category Zarpie was invented by people.,The boundary between the category Zarpie and non-Zarpie is something decided by people.,A Zarpie can never change into a non-Zarpie.,This study involved:,Please enter your age in years:,Please indicate what gender you identify with: - Selected Choice,Please indicate what gender you identify with: - Enter your own gender identification label (if any) - Text,What is your racial or ethnic identity? - Selected Choice,What is your racial or ethnic identity? - Other - Text,What is the highest level of education you have completed?,You are almost done! - Did you have any problems with this survey? Was anything confusing?,You are almost done! - What do you think this study is about?,You are almost done! - Would you suggest any changes to improve this survey?,condition,Create New Field or Choose From Dropdown...,cb
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID64""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_4_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID70_15_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_3""}","{""ImportId"":""condition""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""cb""}"
2020-02-18 17:15:38,2020-02-18 17:15:49,IP Address,181.177.84.164,100,10,True,2020-02-18 17:15:49,R_R2dSDCMCIHg6385,,,,,40.7064056396484375,-73.94730377197265625,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,
2020-02-18 17:15:57,2020-02-18 17:16:05,IP Address,96.33.44.24,100,8,True,2020-02-18 17:16:05,R_1rldtP9DHn4yO2c,,,,,36.5818023681640625,-87.41619873046875,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,
2020-02-18 17:15:27,2020-02-18 17:16:32,IP Address,76.95.9.5,100,64,True,2020-02-18 17:16:32,R_3D6E7eFJQa4KMxP,,,,,33.907501220703125,-117.78659820556640625,anonymous,EN,I do consent to participate,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,22,Male,,Click to write Choice 8,,"Bachelor's (B.A., B.S.)",no,racism,n/a,control,,essentialismKind
2020-02-18 17:15:31,2020-02-18 17:16:37,IP Address,68.83.174.104,100,66,True,2020-02-18 17:16:38,R_1MQE5HbkhUihW5b,,,,,39.9485931396484375,-75.2339019775390625,anonymous,EN,I do consent to participate,Totally Agree,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,19,Female,,White/European American,,Some college,no,our opinions on people,no,formal,,kindEssentialism
2020-02-18 17:15:33,2020-02-18 17:17:09,IP Address,65.188.179.223,100,95,True,2020-02-18 17:17:09,R_XGNooPJUO2qVfl7,,,,,36.1053009033203125,-79.87619781494140625,anonymous,EN,I do consent to participate,Slightly Agree,Slightly Agree,Mostly Disagree,Mostly Disagree,Slightly Agree,Mostly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,22,Female,,White/European American,,"Bachelor's (B.A., B.S.)",No,Views on the way things are written,,control,,essentialismKind
2020-02-18 17:15:38,2020-02-18 17:17:38,IP Address,23.241.235.92,100,120,True,2020-02-18 17:17:38,R_1KycOpXNkZVL7Ck,,,,,34.0030059814453125,-118.4297943115234375,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,31,Female,,Click to write Choice 8,,"Bachelor's (B.A., B.S.)",no,"perceptions of groups ",nothing,generic,,kindEssentialism
2020-02-18 17:15:32,2020-02-18 17:17:40,IP Address,108.28.55.88,100,127,True,2020-02-18 17:17:40,R_12FkNZLRxfPJ9LS,,,,,38.8262939453125,-77.21109771728515625,anonymous,EN,I do consent to participate,Slightly Agree,Slightly Disagree,Slightly Agree,Totally Disagree,Totally Agree,Totally Agree,Totally Disagree,Learning about Zarpies and answering multiple choice questions about them,27,Male,,White/European American,,Some college,"All clear, thanks!",Our perception of Zarpies and people in general.,Nothing more,control,,essentialismKind
2020-02-18 17:15:39,2020-02-18 17:17:42,IP Address,108.193.234.103,100,123,True,2020-02-18 17:17:42,R_2bQ2PIiDLeZkp7z,,,,,32.966094970703125,-117.12020111083984375,anonymous,EN,I do consent to participate,Mostly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,39,Female,,"White/European American,Click to write Choice 8",,"Bachelor's (B.A., B.S.)",No,How we view different groups of people,N/A,formal,,kindEssentialism
