StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,inherentSimilarity,hetereogenous,inductivePotential,internalCause,invented,constructedBoundary,immutability,attentionCheck,attentionCheck2,age,gender,gender_4_TEXT,race,race_15_TEXT,education,debrief_1,debrief_2,debrief_3,Create New Field or Choose From Dropdown...,condition,cb
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"STUDY TITLE: Comparison processing in children

 

PROTOCOL DIRECTOR:  Marianna Zhang

 

DESCRIPTION:  You are invited to participate in a research study on language and social categories. You will be asked to read short sentences, read short excerpts from children’s books, answer short questions, produce or select sentences, rate items on various traits, or produce descriptions of items. You may see material intended for children – we are interested in how adults think about the same material. The purpose of this research is to understand the cognitive processes underlying language and social categorization. 

 

TIME INVOLVEMENT:  Your participation will take approximately 3-5 minutes.

 

RISKS AND BENEFITS:  There are no risks associated with this study.  No benefits may reasonably be expected to result from this study. We cannot and do not guarantee or promise that you will receive any benefits from this study.

 

PAYMENTS:  You will receive $0.58 through Amazon Payments as payment for your participation.

 

SUBJECT'S RIGHTS:  If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  Your individual privacy will be maintained in all published and written data resulting from the study.  No personally identifying information is ever revealed to the researchers.

 

CONTACT INFORMATION:

Questions:  If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Marianna Zhang, at stanford.markman.lab@gmail.com.

 

Independent Contact:  If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906.  You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306.

 

Please print a copy of this page for your records.

 

If you agree to participate in this research, please complete and submit the following questionnaire.","Underneath superficial similarities and differences, all Zarpies are basically the same.",Individual Zarpies have very little in common.,"If someone tells you a fact about an individual Zarpie, that fact is very likely true of other Zarpies as well.",Zarpies have internal or microscopic properties that cause their characteristic appearance and behavior.,The category Zarpie was invented by people.,The boundary between the category Zarpie and non-Zarpie is something decided by people.,A Zarpie can never change into a non-Zarpie.,This study involved:,Today we learned about some Zarpies who: (check all that apply),Please enter your age in years:,Please indicate what gender you identify with: - Selected Choice,Please indicate what gender you identify with: - Enter your own gender identification label (if any) - Text,What is your racial or ethnic identity? - Selected Choice,What is your racial or ethnic identity? - Other - Text,What is the highest level of education you have completed?,You are almost done! - Did you have any problems with this survey? Was anything confusing?,You are almost done! - What do you think this study is about?,You are almost done! - Would you suggest any changes to improve this survey?,Create New Field or Choose From Dropdown...,condition,cb
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID64""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID67""}","{""ImportId"":""QID74""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_4_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID70_15_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_3""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""condition""}","{""ImportId"":""cb""}"
2020-03-03 18:08:13,2020-03-03 18:09:09,IP Address,73.21.30.16,100,56,True,2020-03-03 18:09:09,R_Qia3d4IxXsVoWNr,,,,,31.9900054931640625,-81.10320281982421875,anonymous,EN,I do consent to participate,Mostly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Mostly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Drew stars on their knees,Built their home underground",30,Male,,Click to write Choice 8,,"Bachelor's (B.A., B.S.)",None,Zarpies,None,,generic,essentialismKind
2020-03-03 18:08:10,2020-03-03 18:09:45,IP Address,73.91.206.91,100,95,True,2020-03-03 18:09:46,R_bectd73VplWv2rn,,,,,35.251800537109375,-90.02469635009765625,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Agree,Mostly Agree,Totally Agree,Mostly Agree,Totally Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Built their home underground",29,Male,,Black/African American,,Some college,,,,,generic,kindEssentialism
2020-03-03 18:08:30,2020-03-03 18:10:02,IP Address,69.14.103.240,100,92,True,2020-03-03 18:10:02,R_2CeoLVYRkuNlHQp,,,,,42.231597900390625,-83.265899658203125,anonymous,EN,I do consent to participate,Slightly Disagree,Mostly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees",21,Male,,"White/European American,Latino/Latina",,High school/GED,No,How you see different types of people.,Nope,,generic,essentialismKind
2020-03-03 18:08:22,2020-03-03 18:10:12,IP Address,71.45.161.218,100,109,True,2020-03-03 18:10:12,R_2YG74vnGpDEwEjF,,,,,33.5028076171875,-86.80210113525390625,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Agree,Mostly Agree,Mostly Agree,Mostly Agree,Slightly Agree,Totally Agree,Translating the language of Zarpies into English,Had freckles on their feet,30,Female,,Black/African American,,"Master's (M.A., M.S.)",like,nice,good,,formal,essentialismKind
2020-03-03 18:08:17,2020-03-03 18:10:21,IP Address,216.249.69.169,100,124,True,2020-03-03 18:10:22,R_2Sk8sOpBp0t2aHW,,,,,39.345001220703125,-86.65830230712890625,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Agree,Mostly Disagree,Mostly Disagree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Had striped hair on the back of their head,Had freckles on their feet",45,Female,,White/European American,,"Doctoral (Ph.D., J.D., M.D.)",no,I am unsure,no,,formal,kindEssentialism
2020-03-03 18:08:48,2020-03-03 18:10:24,IP Address,99.62.37.8,100,96,True,2020-03-03 18:10:24,R_WdRtpehLJb1Nfq1,,,,,39.7801055908203125,-86.05570220947265625,anonymous,EN,I do consent to participate,Totally Agree,Totally Disagree,Totally Agree,Slightly Agree,Slightly Agree,Totally Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",35,Male,,White/European American,,Some college,no,no,Was fine,,generic,essentialismKind
2020-03-03 18:09:17,2020-03-03 18:10:35,IP Address,68.105.189.229,100,77,True,2020-03-03 18:10:35,R_TnpjTaAYy0UJJlf,,,,,36.058807373046875,-115.31040191650390625,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Agree,Mostly Disagree,Mostly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,"Drew stars on their knees,Had freckles on their feet",31,Male,,Click to write Choice 8,,"Bachelor's (B.A., B.S.)",No,Opinions on groups,"No ",,generic,kindEssentialism
2020-03-03 18:08:16,2020-03-03 18:10:48,IP Address,99.165.53.165,100,152,True,2020-03-03 18:10:49,R_3PRos8EqCJUhfWz,,,,,32.817901611328125,-96.63189697265625,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Agree,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had freckles on their feet",36,Female,,Click to write Choice 9,,"Bachelor's (B.A., B.S.)",No,"Not sure, to get our opinions if Zarpies are all alike or not",No,,control,kindEssentialism
